ID,lemma,domain,pos,tagcount,source,status,comment,variant,project,owner,error_comment,verb_aspect
246,"bać się pokazać na oczy",35,1,0,1,0,"brak danych <##nDD> <##VLC: ST>",1,1,,NULL,2
614547,"dichromian sodu",24,2,0,1,0,"##K: specj. {##L: http://pl.wikipedia.org/wiki/Dichromian_sodu} <##nDD>",1,2,Elżbieta.Filipczuk,NULL,0
508,"brać stronę",39,1,0,1,0,"##K: og. ##D: popierać kogoś. [##W: Nie mieli oni dzieci, ale Joanna opiekowała się dziećmi Henryka z jego pierwszego małżeństwa – podczas sprzeczek Henryka z synem, zawsze brała stronę przyszłego Henryka V Lancastera.] [##W: W dyskusjach z rodakami pozytywnie nastawionymi do Rosjan, brał stronę polską.] <##nDD> <##VLC: CZ>",1,1,,NULL,2
509,"brać do serca",35,1,0,1,0,"brak danych <##nDD> <##VLC: CZ>",1,1,,NULL,2
510,"brać do siebie",29,1,0,1,0,"brak danych <##nDD> <##VLC: CZ, ST>",1,1,,NULL,2
512,"brać na rozum",29,1,0,1,0,"brak danych <##nDD> <##VLC: CZ>",1,1,,NULL,2
63744,"wertep sufozyjny",16,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,2,Agnieszka.Dziob,NULL,0
573,"budowa ciała",22,2,0,1,3,"##K: og. ##D: kształt postaci, ciała. [##P: ] {##L: } <##s> <##nDD>",1,1,,,0
954,"czynić coś złego",35,1,0,1,0,"brak danych <##nDD> <##VLC: CZ>",1,1,,NULL,2
978,"dać wiarę",29,1,0,1,0,"brak danych <##nDD> <##VLC: AK>",1,1,,NULL,1
1007,"dawać wiarę",29,1,0,1,0,"brak danych <##nDD> <##VLC: CZ>",1,1,,NULL,2
1157,"dokonać życia",28,1,0,1,0,"brak danych <##nDD> <##VLC: PRd>",1,1,,NULL,1
1158,"dokonać żywota",28,1,0,1,0,"brak danych <##nDD> <##VLC: PRd>",1,1,,NULL,1
1244,"dorzucić swoje trzy grosze",30,1,0,1,0,"brak danych <##nDD> <##VLC: AK>",1,1,,NULL,1
1255,"dostać się w ręce",39,1,0,1,2,"##K: og. ##D: wpaść, zostać złapanym przez kogoś. [##Ko: wpaść w czyjeś ręce]  <##VLC: WY> <##nDD>",2,1,,"To nie jest jednostka języka: dostać się w ręce, mieć w rękach, dzierżyć w rękach, wpaść w ręce, wlecieć w ręce... Tak można by wymieniać jeszcze długo",1
1408,"dwadzieścia cztery godziny",25,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,1,,NULL,0
1481,"działać na nerwy",35,1,0,1,0,"brak danych <##nDD> <##VLC: DZn, ZD>",1,1,,NULL,2
1482,"działać w złej wierze",39,1,0,1,0,"brak danych <##nDD> <##VLC: CZ>",1,1,,NULL,2
1489,"działanie matematyczne",6,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,1,,NULL,0
1519,"dzień i noc",25,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,1,,NULL,0
1521,"dzień wolny",25,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##s> <##nDD>",1,1,,NULL,0
1540,"dzieło poetyckie",7,2,0,1,0,"##K: og. ##D: tekst dowolnych rozmiarów o charakterze poetyckim, wierszowanym. <##nDD>",1,1,,NULL,0
17605,"jednostka masy",20,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,1,,NULL,0
652870,"kasza gryczana",20,2,0,1,0,"##K: pot. ##D: porcja kaszy gryczanej; określona ilość kaszy gryczanej, zazwyczaj papierowa torebka, woreczek lub papierowe pudełko. [##P: Dzisiaj zauważyłem w moim spożywczym dwie kasze gryczane w porządnie obniżonej cenie, a potem okazało się, że są przeterminowane.] <##nDD>",2,2,jadzia.maksym,NULL,0
1996,"grać komedię",37,1,0,1,0,"brak danych <##nDD> <##VLC: CZ>",1,1,,NULL,2
2299,"istota ludzka",15,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD> ##A1: 0",1,1,,NULL,0
3081,"lać łzy",35,1,0,1,4,"##K: książk. ##D: reagować na coś płaczem, najczęściej pod wpływem bólu lub silnych emocji. [##P: Kobieta, będąc już na skraju załamania, lała łzy po każdym telefonie z odmowną wiadomością.] <##nDD> <##VLC: CZ>",1,1,,,2
3104,"leczenie zwierząt",6,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,1,,NULL,0
3175,"linia frontu",12,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,1,,NULL,0
3176,"linia kolejowa",3,2,0,1,0,"##K: og. ##D: element sieci kolejowej składający się z jednego, dwóch lub kilku torów kolejowych łączących punkty początkowy i końcowy (będące stacjami końcowymi lub węzłowymi). [##P: ] {##L: http://pl.wikipedia.org/wiki/Linia_kolejowa} <##nDD>",1,1,,NULL,0
629655,"dukla wiertnicza",12,2,0,1,0,"##K: specj. ##D: szybik głęboki na 8 m, w którym umieszcza się rurę kierowniczą i części przewodu <##nDD>",1,2,jadwiga.maksym,NULL,0
3350,"matka i ojciec",11,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,1,,NULL,0
3355,"mąż i żona",11,2,0,1,0,"##K: og. ##D: para małżeńska, małżeństwo. <##nDD>",1,1,,NULL,0
3435,"mieć na względzie",29,1,0,1,0,"brak danych <##nDD> <##VLC: CZ>",1,1,,NULL,2
3436,"mieć wzgląd",29,1,0,1,0,"brak danych <##nDD> <##VLC: CZ>",1,1,,NULL,2
3445,"miejsce odosobnienia",12,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,1,,NULL,0
3612,"mówić na ucho",30,1,0,1,0,"brak danych <##nDD> <##VLC: CZ, ST, ZD>",1,1,,NULL,2
619160,"przetwór mleczny",10,2,0,1,0,"##K: og. ##D: produkt wytwarzany z mleka. <##nDD>",1,2,Justyna.Ławniczak,NULL,0
3706,"nadawać imię",30,1,1126,0,0,"brak danych <##nDD> <##VLC: CZ>",1,1,,NULL,2
3782,"nakrycie głowy",3,2,0,1,0,"##K: og. ##D: element garderoby, który nosi się na głowie, który przykrywa głowę.<##nDD>",1,1,,NULL,0
3785,"nakład sił",4,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,1,,NULL,0
3787,"nakładać obowiązek",30,1,0,1,0,"brak danych <##nDD> <##VLC: DZn>",1,1,,NULL,2
3819,"napędzić stracha",35,1,0,1,0,"brak danych <##nDD> <##VLC: WY>",1,1,,NULL,1
3914,"nauczyciel matematyki",15,2,0,1,0,"##K: og. ##D: matematyk - osoba, która uczy w szkole matematyki. [##W: Po ukończeniu studiów wrócił do Albanii i został nauczycielem matematyki w szkole w Durres.] {##L: } <##nDD>",1,1,,NULL,0
3915,"nauczyciel muzyki",15,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,1,,NULL,0
3921,"nauka o materii",6,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,1,,NULL,0
3922,"nauka o roślinach",6,2,0,1,0,"##K: og. {##L: http://pl.wikipedia.org/wiki/Botanika} <##nDD>",1,1,,NULL,0
3923,"nauka o zdrowiu",6,2,0,1,0,"##K:  ##D: . [##P: ] {##L: } <##nDD>",1,1,,NULL,0
