	type	first_word	first_word_lemma	first_word_id	second_word	second_word_lemma	second_word_id	full_mwe	full_mwe_lemma	sentence
5	VERB+PRON	zdecydował	zdecydować	12	się	się	13	zdecydował się	zdecydować się	Dodał , że kilka dni temu chcąc przekonać sąd do swoich racji zdecydował się jeszcze raz wyrobić pieczątkę na swoje nazwisko z tytułem komendanta oddziału egzekucyjnego SS .
15	VERB+PRON	zdecydowało	zdecydować	3	się	się	4	zdecydowało się	zdecydować się	Gdyby kierownictwo ZUS zdecydowało się na Mercedesa lub BMW , to koszt jednego samochodu przekroczyłby przekroczył by 200 tys . nowych złotych .
32	VERB+PRON	zastanawiała	zastanawiać	5	się	się	6	zastanawiała się	zastanawiać się	Teraz mogła uciec , ale zastanawiała się , że nawet gdyby udało się jej wymknąć , to jeszcze nie wszystko .
80	VERB+PRON	kręciła	kręcić	50	się	się	51	kręciła się	kręcić się	- Bardzo dobry człowiek - odpowiedział gorąco i patrzył na Zośkę , która nie mogła usiedzieć na miejscu , wyręczyła Jaskólską w nalewaniu herbaty , pooglądała książki leżące na starej komodzie , podkręciła lampy , obejrzała szydełkową serwetę , jaką była nakryta maszyna do szycia , przygładziła dzieciom włosy i kręciła się po izbie jak fryga .
92	VERB+NOUN	mieli	mieć	18	wątpliwości	wątpliwość	19	mieli wątpliwości	mieć wątpliwość	Jego przewaga nie była jednak tak przygniatająca jak w pierwszym starciu , ale sędziowie tym razem też nie mieli wątpliwości , kto jest lepszy .
95	ADP+NOUN	w	w	6	stanie	stan	7	w stanie	w stan	Dłużnik , który nie jest już w stanie spłacać kredytu , może wystąpić o ogłoszenie upadłości .
97	VERB+PRON	zdecyduje	zdecydować	2	się	się	3	zdecyduje się	zdecydować się	Czy Milon zdecyduje się na powrót ?
114	VERB+PRON	zdecydował	zdecydować	3	się	się	4	zdecydował się	zdecydować się	Naczelny - Dlaczego zdecydował się Pan stanąć w obronie integralności Ochli ?
127	ADP+NOUN	z	z	5	ziemią	ziemia	6	z ziemią	z ziemia	W przypadku odmowy zrównają miasto z ziemią za pomocą artylerii i lotnictwa .
133	VERB+PRON	zdecydowano	zdecydować	9	się	się	10	zdecydowano się	zdecydować się	Komendant szpitala mówi , że nie rozumie , dlaczego zdecydowano się wieźć pacjenta właśnie do jego placówki , podczas gdy inna była bliżej i lepiej przygotowana do właściwego i szybkiego zdiagnozowania chorego .
150	ADP+NOUN	z	z	30	prośbą	prośba	31	z prośbą	z prośba	Darek P . widząc , że jego zeznania nie przyniosły żadnego skutku , a Komor chodzi na wolności , sprzedaje majątek i dalej prowadzi swoje lewe interesy , zwrócił się z prośbą o pomoc do dziennikarzy .
157	VERB+PRON	dają	dawać	14	się	się	15	dają się	dawać się	Do 23 wzrosła wczoraj liczba ofiar śmiertelnych ulewnych deszczów , które od kilku dni dają się we znaki mieszkańcom południowo - zachodniej Japonii .
168	ADP+NOUN	w	w	26	stanie	stan	27	w stanie	w stan	Tak do końca nie byłem był em tego pewien : co jak co , ale paliwa rakietowe wydzielają ogromną ilość energii i chyba byłyby były by w stanie , odpowiednio długo pozostawione same sobie , przepalić cienki w tym miejscu pancerz .
172	VERB+PRON	trzyma	trzymać	14	się	się	15	trzyma się	trzymać się	Nawet , gdy suczkom wystawia na schody garnki z jedzeniem , lewą ręką kurczowo trzyma się futryny drzwi , czując , że gdy puści , to wyjdzie z domu i wówczas coś ją zmusi do poddania się ciągle tkwiącemu w niej piekielnemu głosowi , który rozkazuje wejście w gęstwinę leśną i uwolnienie się raz na zawsze od wszelkich ziemskich cierpień .
176	VERB+PRON	zdecydowali	zdecydować	1	się	się	2	zdecydowali się	zdecydować się	Lekarze zdecydowali się na operację , ale brakowało dawcy .
182	VERB+PRON	decyduje	decydować	14	się	się	15	decyduje się	decydować się	Najczęściej tego typu oferty wprowadzają działające w Polsce firmy zagraniczne , ale od niedawna decyduje się na nie także coraz więcej przedsiębiorstw rodzimych .
221	NOUN+PRON	ukazaniu	ukazać	10	się	się	11	ukazaniu się	ukazać się	Pierwsze recenzje w Niemczech pojawiły się już dwa tygodnie po ukazaniu się książki w USA .
255	VERB+PRON	skarżą	skarżyć	1	się	się	2	skarżą się	skarżyć się	Lekarze skarżą się , że nie mogą podnosić kwalifikacji , bo w szpitalach jest za mało miejsc dla tych , którzy chcą zrobić specjalizację .
264	VERB+ADP	jesteśmy	być	7	w	w	8	jesteśmy w	być w	Jednak na podstawie dostępnych faktów wciąż nie jesteśmy w stanie powiedzieć , jakie były motywy uprowadzenia , dopóki porywacze się z nami nie skontaktują .
272	VERB+PRON	zdecyduje	zdecydować	32	się	się	33	zdecyduje się	zdecydować się	( Plafon oznacza , że rządowy ubezpieczyciel kredytu - w tym wypadku COFACE - udzieli gwarancji , o ile któryś z dwóch banków francuskich , z jakimi zawarł umowy Bank Handlowy , zdecyduje się udzielić kredytu ) .
281	VERB+PRON	wypowiadam	wypowiadać	2	się	się	3	wypowiadam się	wypowiadać się	- Nie wypowiadam się w osobistych sprawach prezydenta - mówi nam Anna Paszkiewicz , jego rzeczniczka prasowa .
287	VERB+PRON	składa	składać	4	się	się	5	składa się	składać się	System sądów jurysdykcji ogólnej składa się z sądów rejonowych , apelacyjnych i Sądu Najwyższego .
289	ADJ+PRON	mieszczącej	mieścić	30	się	się	31	mieszczącej się	mieścić się	Odkryty w grudniu ubiegłego roku asteroid XF11 zbliży się za 30 lat na mniejszą odległość od Ziemi niż jakikolwiek znany obiekt kosmiczny we współczesnych czasach - poinformował Brian Marsden z mieszczącej się w Cambridge , w stanie Massachusetts Międzynarodowej Unii Astronomicznej .
296	VERB+ADP	będzie	być	46	w	w	47	będzie w	być w	Określeń jest wiele - pluskwa milenijna , problem roku 2000 ( PR 2000 ) , Y2K - ale wszystkie oznaczają jedno : o północy z 31 grudnia 1999 na 1 stycznia 2000 wiele setek milionów urządzeń elektronicznych na całym świecie może przestać działać , bo nie będzie w stanie poprawnie odczytać daty .
321	VERB+PRON	kręcił	kręcić	11	się	się	12	kręcił się	kręcić się	Janek , który siedział w Barczewie za zabójstwo pierwszej żony , kręcił się przy Lilce .
325	VERB+PRON	zdecyduję	zdecydować	5	się	się	6	zdecyduję się	zdecydować się	- Ciekawy zawodnik , chyba zdecyduję się na jego pozyskanie - dodał Broniszewski .
336	VERB+PRON	dopuszcza	dopuszczać	5	się	się	6	dopuszcza się	dopuszczać się	Niewątpliwie bulwersuje , kiedy parlamentarzysta dopuszcza się czynów sprzecznych z prawem , kiedy zostaje zatrzymany i przebywa w areszcie .
362	VERB+PRON	zdecydowała	zdecydować	8	się	się	9	zdecydowała się	zdecydować się	- Co przesądziło o tym , że NBA zdecydowała się wyjść poza USA i właśnie do Kanady ?
363	VERB+PRON	zdecydowało	zdecydować	5	się	się	6	zdecydowało się	zdecydować się	W Wielkopolsce na nową maturę zdecydowało się 522 abiturientów .
419	VERB+PRON	Skarży	skarżyć	0	się	się	1	Skarży się	skarżyć się	Skarży się na szykany .
449	VERB+NOUN	miała	mieć	11	miejsce	miejsce	12	miała miejsce	mieć miejsce	Ostatecznie przyjęto , że kradzież nastąpiła z obrazą świętości , bo miała miejsce w kościele : zesłano więc oskarżonego na Sybir .
456	VERB+PRON	Zastanawiam	zastanawiać	0	się	się	1	Zastanawiam się	zastanawiać się	Zastanawiam się , czy youtuber gejmingowy – taki , który po prostu gra sobie – też może lokować ciasteczka .
458	VERB+ADP	jesteśmy	być	12	w	w	13	jesteśmy w	być w	"76-letni dziś twórca ma coraz mniej wiary w człowieka : "" Nie jesteśmy w stanie utrwalić żadnych wartości , zachowań ani stereotypów ."
