synset_id	synset str	lemma	variant
464366	(nickel group element 1* (sbst) [sbst] | Group 10 element 1* (sbst), Group 10 metal 1* (sbst))	Group 10 element	1
464366	(nickel group element 1* (sbst) [sbst] | Group 10 element 1* (sbst), Group 10 metal 1* (sbst))	nickel group element	1
7083228	(Young's weeping birch 1* (rsl) [rsl] | )	Young's weeping birch	1
365748	(trace element 1* (sbst) [sbst] | )	trace element	1
365715	(calcium ion 1* (sbst) [sbst] | factor IV 1* (sbst))	factor IV	1
365715	(calcium ion 1* (sbst) [sbst] | factor IV 1* (sbst))	calcium ion	1
365679	(Swedish iron 1* (sbst) [sbst] | )	Swedish iron	1
365666	(structural iron 1* (sbst) [sbst] | )	structural iron	1
365586	(spiegeleisen 1* (sbst) [sbst] | spiegel 1* (sbst), spiegel iron 1* (sbst))	spiegel iron	1
365425	(scrap iron 1* (sbst) [sbst] | )	scrap iron	1
365214	(pig lead 1* (sbst) [sbst] | )	pig lead	1
365213	(pig iron 1* (sbst) [sbst] | )	pig iron	1
365098	(Ni-resist 1* (sbst) [sbst] | Ni-resist iron 1* (sbst))	Ni-resist iron	1
365097	(Ni-hard 1* (sbst) [sbst] | Ni-hard iron 1* (sbst))	Ni-hard iron	1
365036	(mine pig 1* (sbst) [sbst] | )	mine pig	1
364962	(liquid nitrogen 1* (sbst) [sbst] | )	liquid nitrogen	1
364741	(hard lead 1* (sbst) [sbst] | antimonial lead 1* (sbst))	antimonial lead	1
364741	(hard lead 1* (sbst) [sbst] | antimonial lead 1* (sbst))	hard lead	1
364740	(hard lead 2* (sbst) [sbst] | )	hard lead	2
364662	(grid metal 1* (sbst) [sbst] | )	grid metal	1
364659	(green gold 1* (sbst) [sbst] | )	green gold	1
364577	(galvanized iron 1* (sbst) [sbst] | )	galvanized iron	1
364238	(coin silver 1* (sbst) [sbst] | )	coin silver	1
364214	(cinder pig 1* (sbst) [sbst] | )	cinder pig	1
364152	(wrought iron 1* (sbst) [sbst] | )	wrought iron	1
364150	(cast iron 1* (sbst) [sbst] | )	cast iron	1
364149	(ingot iron 1* (sbst) [sbst] | )	ingot iron	1
364118	(graphite 1* (sbst) [sbst] | black lead 1* (sbst), plumbago 1* (sbst))	black lead	1
364117	(activated carbon 1* (sbst) [sbst] | activated charcoal 1* (sbst))	activated charcoal	1
364117	(activated carbon 1* (sbst) [sbst] | activated charcoal 1* (sbst))	activated carbon	1
364101	(carbon black 1* (sbst) [sbst] | lampblack 1* (sbst), soot 1* (sbst), smut 1* (sbst), crock 1* (sbst))	carbon black	1
364100	(carbonado 1* (sbst) [sbst] | black diamond 1* (sbst))	black diamond	1
364051	(brimstone 1* (sbst) [sbst] | native sulfur 1* (sbst), native sulphur 1* (sbst))	native sulphur	1
364051	(brimstone 1* (sbst) [sbst] | native sulfur 1* (sbst), native sulphur 1* (sbst))	native sulfur	1
364023	(blister copper 1* (sbst) [sbst] | )	blister copper	1
363975	(basic iron 1* (sbst) [sbst] | )	basic iron	1
363696	(delta iron 1* (sbst) [sbst] | )	delta iron	1
363695	(gamma iron 1* (sbst) [sbst] | )	gamma iron	1
363694	(beta iron 1* (sbst) [sbst] | )	beta iron	1
