synset_id	synset str	lemma	variant
417771	(Illyrian movement 2* (grp) [grp] | )	Illyrian movement	2
422229	(Order of Friars Minor 2* (grp) [grp] | Observants 1* (grp), Franciscan friars 1* (grp), Friars Minor 1* (grp))	Order of Friars Minor	2
449392	(bi-directional microphone 1* (wytw) [wytw] | "figure 8" microphone 1* (wytw))	bi-directional microphone	1
461521	(chemotherapeutic agent 1* (sbst) [sbst] | )	chemotherapeutic agent	1
412444	(average revenue 1* (pos) [pos] | )	average revenue	1
427444	(rooibos 2* (jedz) [jedz] | bush tea 1* (jedz), rooibos tea 1* (jedz), redbush tea 1* (jedz))	bush tea	1
427444	(rooibos 2* (jedz) [jedz] | bush tea 1* (jedz), rooibos tea 1* (jedz), redbush tea 1* (jedz))	rooibos tea	1
427444	(rooibos 2* (jedz) [jedz] | bush tea 1* (jedz), rooibos tea 1* (jedz), redbush tea 1* (jedz))	redbush tea	1
423462	(glucosamine sulfate 1* (sbst) [sbst] | glucosamine sulphate 1* (sbst))	glucosamine sulphate	1
435665	(right lymphatic duct 1* (czc) [czc] | right thoracic duct 1* (czc))	right thoracic duct	1
424519	(game controller 1* (wytw) [wytw] | controller 4* (wytw))	game controller	1
406808	(ethylene oxide 1* (sbst) [sbst] | oxirane 1* (sbst))	ethylene oxide	1
449909	(insulin syringe 1* (wytw) [wytw] | )	insulin syringe	1
436939	(head line 1* (czc) [czc] | )	head line	1
414452	(curry leaf 1* (jedz) [jedz] | )	curry leaf	1
436027	(primary market 1* (czy) [czy] | )	primary market	1
405976	(shea butter 1* (sbst) [sbst] | )	shea butter	1
459902	(axial turbine 1* (wytw) [wytw] | axial flow turbine 1* (wytw))	axial turbine	1
7083227	(foam cake 1* (jedz) [jedz] | )	foam cake	1
428867	(cellular glass 1* (sbst) [sbst] | foam glass 1* (sbst), expanded glass 1* (sbst))	cellular glass	1
418380	(Polish Red Cross 1* (grp) [grp] | )	Polish Red Cross	1
421808	(specialized committee 1* (grp) [grp] | )	special committee	1
445173	(escort aircraft carrier 1* (wytw) [wytw] | escort carrier 1* (wytw), jeep carrier 1* (wytw), baby flattop 1* (wytw), Woolworth Carrier 1* (wytw))	Woolworth Carrier	1
411634	(scale length 1* (por) [por] | string length 1* (por), mensure 1* (por))	string length	1
416525	(gallium antimonide 1* (sbst) [sbst] | GaSb 1* (sbst))	gallium antimonide	1
416528	(sulfurous acid 1* (sbst) [sbst] | sulphurous acid 1* (sbst))	sulphurous acid	1
416530	(sodium perchlorate 1* (sbst) [sbst] | NaClO4 1* (sbst))	sodium perchlorate	1
413446	(lombard rate 1* (pos) [pos] | )	lombard rate	1
462131	(machining center 1* (wytw) [wytw] | )	machining center	1
411634	(scale length 1* (por) [por] | string length 1* (por), mensure 1* (por))	scale length	1
416564	(pure iambic trimeter 1* (por) [por] | )	pure iambic trimeter	1
411865	(sodium chromate 1* (sbst) [sbst] | )	sodium chromate	1
416859	(confessional state 1* (grp) [grp] | )	confessional state	1
421898	(female lineage 1* (grp) [grp] | )	female lineage	1
416528	(sulfurous acid 1* (sbst) [sbst] | sulphurous acid 1* (sbst))	sulfurous acid	1
419164	(distribution board 1* (grp) [grp] | panelborad 1* (wytw), breaker panel 1* (wytw), electric panel 1* (wytw))	distribution board	1
413447	(nominal price 1* (pos) [pos] | )	nominal price	1
412777	(barium nitrate 1* (sbst) [sbst] | )	barium nitrate	1
461051	(Upper Sorbian 1* (por) [por] | )	Upper Sorbian	1
439236	(obelus 1* (umy) [umy] | division sign 1* (umy))	division sign	1
417752	(centre-right politics 1* (grp) [grp] | )	centre-right politics	1
406271	(sodium cyclamate 1* (sbst) [sbst] | cyclamate 1* (sbst), sodium N-cyclohexylsulfamate 1* (sbst), sweetener code 952 1* (sbst))	sodium cyclamate	1
464847	(unsaturated hydrocarbon 1* (sbst) [sbst] | )	unsaturated hydrocarbon	1
464844	(standard hydrogen electrode 1* (wytw) [wytw] | SHE 1* (wytw))	standard hydrogen electrode	1
371756	(address 9* (cpor) [cpor] | accost 1* (cpor), come up to 1* (cpor))	come up to	1
371750	(take the floor 2* (cpor) [cpor] | )	take the floor	2
371736	(break into 1* (cpor) [cpor] | )	break into	1
371730	(bite out 1* (cpor) [cpor] | )	bite out	1
371725	(utter 2* (cpor) [cpor] | emit 3* (cpor), let out 1* (cpor), let loose 1* (cpor))	let loose	1
371725	(utter 2* (cpor) [cpor] | emit 3* (cpor), let out 1* (cpor), let loose 1* (cpor))	let out	1
371716	(blurt out 1* (cpor) [cpor] | blurt 1* (cpor), blunder out 1* (cpor), blunder 3* (cpor), ejaculate 1* (cpor))	blunder out	1
371716	(blurt out 1* (cpor) [cpor] | blurt 1* (cpor), blunder out 1* (cpor), blunder 3* (cpor), ejaculate 1* (cpor))	blurt out	1
371710	(give voice 1* (cpor) [cpor] | formulate 3* (cpor), word 1* (cpor), phrase 1* (cpor), articulate 2* (cpor))	give voice	1
371703	(pronounce 1* (cpor) [cpor] | articulate 3* (cpor), enounce 1* (cpor), sound out 1* (cpor), enunciate 1* (cpor), say 6* (cpor))	sound out	1
371690	(count off 1* (cpor) [cpor] | )	count off	1
371689	(call out 2* (cpor) [cpor] | )	call out	2
371687	(blare out 1* (cpor) [cpor] | blat out 1* (cpor))	blat out	1
371687	(blare out 1* (cpor) [cpor] | blat out 1* (cpor))	blare out	1
371686	(trump 4* (cpor) [cpor] | trump out 1* (cpor))	trump out	1
371684	(cry 4* (cpor) [cpor] | blazon out 1* (cpor))	blazon out	1
371681	(sign off 1* (cpor) [cpor] | )	sign off	1
371664	(bandy about 1* (cpor) [cpor] | )	bandy about	1
371663	(go around 2* (cpor) [cpor] | spread 6* (cpor), circulate 1* (cpor))	go around	2
371656	(circulate 2* (cpor) [cpor] | circularize 4* (cpor), circularise 3* (cpor), distribute 6* (cpor), disseminate 1* (cpor), propagate 6* (cpor), broadcast 3* (cpor), spread 5* (cpor), diffuse 3* (cpor), disperse 6* (cpor), pass around 2* (cpor))	pass around	2
371654	(publish 2* (cpor) [cpor] | bring out 3* (cpor), put out 9* (cpor), issue 1* (cpor), release 4* (cpor))	put out	9
371654	(publish 2* (cpor) [cpor] | bring out 3* (cpor), put out 9* (cpor), issue 1* (cpor), release 4* (cpor))	bring out	3
371650	(clock out 1* (cpor) [cpor] | punch out 1* (cpor), clock off 1* (cpor))	clock off	1
371650	(clock out 1* (cpor) [cpor] | punch out 1* (cpor), clock off 1* (cpor))	punch out	1
371650	(clock out 1* (cpor) [cpor] | punch out 1* (cpor), clock off 1* (cpor))	clock out	1
371649	(check out 2* (cpor) [cpor] | )	check out	2
371648	(clock in 1* (cpor) [cpor] | punch in 1* (cpor), clock on 1* (cpor))	clock on	1
371648	(clock in 1* (cpor) [cpor] | punch in 1* (cpor), clock on 1* (cpor))	punch in	1
371648	(clock in 1* (cpor) [cpor] | punch in 1* (cpor), clock on 1* (cpor))	clock in	1
371647	(check in 1* (cpor) [cpor] | sign in 1* (cpor))	sign in	1
371647	(check in 1* (cpor) [cpor] | sign in 1* (cpor))	check in	1
371638	(talk turkey 1* (cpor) [cpor] | )	talk turkey	1
371634	(run on 1* (cpor) [cpor] | )	run on	1
371629	(talk down 2* (cpor) [cpor] | )	talk down	2
371614	(recur 2* (cpor) [cpor] | go back 2* (cpor))	go back	2
