dwutlenek węgla	pl	SPACE
tlenek węgla	pl	SPACE
zasoby naturalne	pl	SPACE
tworzywa sztuczne	pl	SPACE
ropa naftowa	pl	SPACE
promieniowanie jonizujące	pl	SPACE
prawo międzynarodowe	pl	SPACE
polichlorek winylu	pl	SPACE
podatek dochodowy	pl	SPACE
nowa zelandia	pl	SPACE
nauki społeczne	pl	SPACE
bośnia i hercegowina	pl	SPACE
ameryka południowa	pl	SPACE
ameryka północna	pl	SPACE
zjednoczone emiraty arabskie	pl	SPACE
węgiel drzewny	pl	SPACE
układ oddechowy	pl	SPACE
sierra leone	pl	SPACE
przewód pokarmowy	pl	SPACE
promieniowanie kosmiczne	pl	SPACE
podtlenek azotu	pl	SPACE
planowanie przestrzenne	pl	SPACE
napięcie powierzchniowe	pl	SPACE
inżynieria genetyczna	pl	SPACE
gaz ziemny	pl	SPACE
energia słoneczna	pl	SPACE
chemia analityczna	pl	SPACE
burkina faso	pl	SPACE
baza danych	pl	SPACE
arabia saudyjska	pl	SPACE
afryka zachodnia	pl	SPACE
afryka południowa	pl	SPACE
zanieczyszczenie środowiska	pl	SPACE
wody śródlądowe	pl	SPACE
woda słodka	pl	SPACE
unia europejska	pl	SPACE
umowa o pracę	pl	SPACE
układ nerwowy	pl	SPACE
tworzywo sztuczne	pl	SPACE
trzęsienie ziemi	pl	SPACE
trzcina cukrowa	pl	SPACE
tlenki azotu	pl	SPACE
tlenek azotu	pl	SPACE
tkanka łączna	pl	SPACE
sztuczna inteligencja	pl	SPACE
statek powietrzny	pl	SPACE
sri lanka	pl	SPACE
służba zdrowia	pl	SPACE
siła robocza	pl	SPACE
san marino	pl	SPACE
rzeczpospolita polska	pl	SPACE
republika zielonego przylądka	pl	SPACE
republika albanii	pl	SPACE
rdzeń kręgowy	pl	SPACE
promieniowanie gamma	pl	SPACE
produkt krajowy brutto	pl	SPACE
próchnica zębów	pl	SPACE
opinia publiczna	pl	SPACE
ochrona środowiska	pl	SPACE
kwas solny	pl	SPACE
kwas glutaminowy	pl	SPACE
królestwo norwegii	pl	SPACE
klatka piersiowa	pl	SPACE
jama ustna	pl	SPACE
informacja naukowa	pl	SPACE
handel zagraniczny	pl	SPACE
gwinea równikowa	pl	SPACE
gwinea bissau	pl	SPACE
gospodarka wodna	pl	SPACE
gęstość zaludnienia	pl	SPACE
gałka muszkatołowa	pl	SPACE
energia jądrowa	pl	SPACE
energia elektryczna	pl	SPACE
dwutlenek siarki	pl	SPACE
ciśnienie atmosferyczne	pl	SPACE
ciężar właściwy	pl	SPACE
błona komórkowa	pl	SPACE
biologia molekularna	pl	SPACE
azja południowo-wschodnia	pl	SPACE -
azja południowo-wschodnia	pl	- SPACE
azja południowa	pl	SPACE
ameryka środkowa	pl	SPACE
afryka wschodnia	pl	SPACE
związek australijski	pl	SPACE
zmiany klimatyczne	pl	SPACE
zdrowie publiczne	pl	SPACE
zapalenie wątroby	pl	SPACE
wosk pszczeli	pl	SPACE
wielka brytania	pl	SPACE
węglan wapnia	pl	SPACE
węgiel brunatny	pl	SPACE
tkanka tłuszczowa	pl	SPACE
teoria gier	pl	SPACE
szkolnictwo wyższe	pl	SPACE
