u diabła
czas trwania
miejsce pracy
służba zdrowia
ostatnie słowa
zły duch
prezydent miasta
pomoc naukowa
zakład ubezpieczeń
rynek walutowy
pozwolić sobie
rachunek kosztów
radca handlowy
sygnał alarmowy
porządek społeczny
istota żywa
sposób bycia
zespół szkół
rzeczniczka prasowa
wyznanie wiary
spółdzielnia mieszkaniowa
rzecznik prasowy
zegar wieżowy
gra hazardowa
pręt stalowy
była żona
statek szkolny
podnośnik hydrauliczny
biały dzień
najbliższa rodzina
woda święcona
środki pieniężne
dzień pracy
dane personalne
służba bezpieczeństwa
przemysł filmowy
program komputerowy
ministerstwo środowiska
pierwsze śniadanie
program nauczania
reżyser filmowy
